Текст фразы,Эмоция,Augmented
счастливый снова успешный проект это отличный новость правда надеяться продолжить дух,Радость,"[""I don't know what to do, but I don't know what to do.""]"
здорово получить повышение слышать это просто замечательный,Радость,"['Ooh, ooh, ooh, ooh, ooh, ooh.']"
мочь поверить достигнуть наш цель это удивительно счастливый вместе,Радость,['ELEVENTH DISCONTINUED SECRETARY-GENERAL']
видеть ребёнок играть двор такой весёлый беззаботный нравиться бегать прыгать играть мяч смотреть один удовольствие,Радость,"[""It's okay.""]"
красивый голос песня который спеть тронуть глубина душа просто восторг,Радость,['Forensics are snooping at the hut of the hut of Hu-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha']
знать лиза выиграть конкурс счастливый описать слово очень рада заслужить награда,Радость,"[""I don't know what to do.""]"
представлять сегодня встретить свой друг детство давно видеться просто мочь наговориться,Радость,"[""I don't know what to do.""]"
слышать вася жениться невеста такой милый красивый планировать сыграть свадьба лето живописный место берег озеро очень рад это прекрасный пара,Радость,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
видеть саша учиться кататься ролик смешной падать смеяться сдаваться упорно пытаться встать ролик рад получать удовольствие,Радость,"[""It's okay.""]"
ура билет концерт купить наконецтый поехать фестиваль это незабываемый мочь дождаться увидеть любимый группа вживую,Радость,"[""It's okay.""]"
слышать повысить быть руководитель отдел рад возможность ответственность смочь реализовать свой идея,Радость,"[""I don't know what to do.""]"
привет дело просто хотеть ты сказать выиграть лотерея поверить,Радость,"[""I don't know what to do.""]"
мочь поверить повезти мочь осуществить мечта,Радость,['ELEVENTH REFERENCE TO DISCONTINUE IN THE NEXT ENVIRONMENT']
чувствовать счастливый уверенный это начало прекрасный история,Радость,['* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *']
сегодня чудесный день ребёнок ездить пикник парк ребёнок радоваться смеяться,Радость,"[""I don't know what to do.""]"
поверить произойти найти пропасть кошка дом рад видеть скучать,Радость,"[""I don't know what to do.""]"
это просто потрясающе,Радость,"[""I don't know what to do, but I don't know what to do.""]"
сегодня чудесный день,Радость,"['♪ Season 1, Episode 2, Episode 2. ♪']"
здорово позвонить,Радость,"['Ooh, ooh, ooh, ooh, ooh, ooh, ooh.']"
просто восторг новость,Радость,"[""I don't know what to do.""]"
счастливый,Радость,"['- Yeah, yeah.']"
мочь поверить приехать,Радость,['ELEVENTH COMMUNICATION']
поздравлять день рождение,Радость,['opohkjrävältga prénguali &quot; ; prénguali &quot; ;']
просто чудо рада,Радость,['PROCTO table_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_']
бог это невероятно получить повышение,Радость,['GBOOG ENEEEOPONO opOLUJIPGA opOCHIPENIONE']
здорово ехать море,Радость,"['Ooh, ooh, ooh, ooh, ooh, ooh.']"
поверить выиграть лотерея,Радость,['Opoverybtga environments lobéfile']
это потрясающе наконецтый найти тот самый работа,Радость,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
обалдеть ехать отпуск весь семья,Радость,['O.E.T.P.O.O.P.P.C.']
сегодня самый крутой тренировка свой личный рекорд побить,Радость,"['♪ Season 1, Episode 2. ♪']"
просто молодец гордиться ты,Радость,['The area of hip-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha!']
друг решить поехать море следующий месяц представлять круто,Радость,"[""I don't know what to do, but I don't know what to do.""]"
это поздравлять знать хотеть,Радость,"[""I don't know what to do, but I don't know what to do.""]"
работать спасибо огромный наконецтый,Радость,['yabobtaTga cplacybo o ynpomnonauh enakionehdtigh']
ура проблема решить просто спасти день,Радость,"[""I don't know what to do.""]"
это просто замечательный очень рад помочь,Радость,"[""I don't know what to do, but I don't know what to do.""]"
счастливый проблема решить спасибо большой,Радость,"[""I don't know what to do.""]"
спасибо просто волшебник работать идеально,Радость,['The club of hooligan hooligans.']
рад смочь помочь спасибо,Радость,['praa-d-c-h-h-a-a-a-a-a-a-a']
отлично это именно хотеть спасибо,Радость,['Wow. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .']
вау благодарный ваш помощь,Радость,"[""It's okay.""]"
спасибо просто супер рад получиться,Радость,['placbybo proposcbo crime na da ord pligtback']
ура найти решение проблема должный работать часы,Радость,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
отлично смочь решить проблема мочь снова пользоваться ваш приложение надеяться ваш день стать,Радость,"[""I don't know what to do.""]"
отличный новость наслать причина проблема работать решение,Радость,"[""I don't know what to do.""]"
это быстро наслать решение впечатлить должный порядок удача,Радость,"[""I don't know what to do.""]"
здорово смочь исправить работать часы быть вопрос стесняться обращаться,Радость,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
сегодня целый день идти дождь это навевать грусть такой настроение,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
новость проект закрыть просто выбить колея,Печаль,['ENOOKTTG PROEKOKETTAD']
потерять любимый вещь весь день какоеть тоскливый чувство,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
друг уехать долгий время очень хватать,Печаль,"[""I don't know what to do.""]"
отложить важный встреча надеяться разговор,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
казаться всё зря знать стоить продолжать,Печаль,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
обидно видеть всё это идти особенно наш усилие,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
честно говорить уверенность это стоить продолжать,Печаль,"[""I don't want you to know that I don't want any of them to be like you.""]"
знать думать столько работа всё оказаться напрасный,Печаль,"[""I don't know what to do.""]"
сложно описать это разочаровывать усилие давать результат,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
казаться упустить чтоть важный смочь наверстать жаль,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
мочь слишком устать просто сила,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
мочь поверить это произойти рад смочь провести выходной вместе отмениться,Печаль,"[""I don't know what to do.""]"
очень расстроить мочь поехать вы море просто возможность,Печаль,"[""I don't know what to do.""]"
просто хотеть закончиться устать этот бесконечный проблема,Печаль,"[""I don't know what to do.""]"
очень грустно думать быстро лететь время успеть насладиться момент семья,Печаль,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
скучать бабушка любить чай,Печаль,"['Klyup, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hh hh hh hh x x x x x x x x x x x x x x x x x']"
знать вообще сюда прийти хотеться,Печаль,['* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *']
верить наличие специально приехать,Печаль,"[""It's okay.""]"
жаль этот книга разобрать хотеться прочитать,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
этот ваза любимый подарок мама обидно разбиться,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
снова провал один модель подходить,Печаль,['CONOGUE OF A PRACTICAL OCCUPIED OCCUPIED SITUATION STRUCTURE']
жена мечтать поездка отмениться грустный вечер,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
очень жаль мочь сделать возврат это политика магазин,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
хотеть рядом знать это невозможно,Печаль,"[""I don't know what to do.""]"
вряд когданибудь забыть день расстаться,Печаль,['The cryptogram formula_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_']
кофточка мама купить день рождение её,Печаль,['♪ Coff-T-T-A-A ♪ ♪ Co-F-Sh-Sh-Sh-Sh-Sh-Sh ♪']
понимать расстроить мочь помочь,Печаль,['opoponymutga naccbronbigtba loppjg opohgoft']
хватать наш вечерний прогулка парка,Печаль,"['hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh, hh x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x']"
устать хотеться просто бросить,Печаль,"[""I don't know what to do.""]"
твой улыбка сам яркий когдалибо видеть скучать,Печаль,"[""It's okay.""]"
этот фотография напоминать тот счастливый день который вернуться,Печаль,"[""I don't know what to do.""]"
чувствовать совершенно одинокий беспомощный,Печаль,['* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *']
казаться потерять дорого,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
знать далёкий жить каждый день напоминать потерять грустно видеть вещь,Печаль,"[""I don't know what to do.""]"
надеяться всё это скоро пройти хотеть просто вернуться нормальный жизнь знать,Печаль,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
сегодня снова плохой день мочь избавиться чувство одиночество вокруг человек никто понимать тяжело,Печаль,"[""I don't know what to do.""]"
планировать всё это стать недостижимый,Печаль,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
это всё несправедливый почему всё произойти именно,Печаль,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
время время задумываться стоить продолжать результат,Печаль,"[""It's okay.""]"
грустно видеть коллега уезжать оставаться воспоминание совместный работа,Печаль,"[""I don't know what to do.""]"
хватать время,Печаль,"[""Hm-hmnd's bastard.""]"
жаль чувствовать плохо,Печаль,"[""I don't know what to do.""]"
жаль проект смочь завершить вовремя столько усилие потратить зря,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
всё вроде идти неплохо результат оказаться ожидать,Печаль,"[""I don't know what to do.""]"
сложно смириться такой результат вложить столько сила время,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
знать сказать ощущение усилие пройти зря,Печаль,['O.A.C.A.T.O.C.U.P.P.P.P.U.S.']
немного разочаровать итог честно говорить ожидать хороший результат,Печаль,['ENGNOTOTOTOTOTOTOTOTOTOTOTOTOTOSIONSION']
ожидать больший возможно стоить подойти задача сторона,Печаль,"['Oh, okay, okay, okay, okay, okay.']"
немного расстроить пройти встреча смочь решить важный вопрос,Печаль,['ENGNOTOTOTOTOTOTOTOTOSIAN ENGLISH ENTORS OF TRANSLATORS OF TRANSLATORS OF TRANSLATORS']
обидно наш усилие заметить мы снова нужно начинать всё нуль,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
бабушка мы невероятно важный часть мой жизнь,Печаль,"['Wow, your honor!']"
последний время часто вспоминать свой друг который уехать граница столько планировать общаться сообщение,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
стараться делать вид всё порядок это усиливать мой тоска каждый день превращаться борьба сам себя,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
мочь избавиться мысль кто поделиться свой переживание,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
счастливый рухнуть знать вернуться жизнь,Печаль,"[""I don't know what to do.""]"
знать хотеть сильный слабый,Печаль,['* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *']
каждый улыбка другой человек напоминать мой утрата,Печаль,"[""Claude, don't you know what that means?""]"
устать казаться справляться,Печаль,"['- Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
сильно бояться завалить экзамен весь жизнь рухнуть,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
сегодня проснуться такой тяжёлый чувство хотеться делать,Печаль,"[""I don't know what to do.""]"
знать справляться это весь просто хотеть это закончиться,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
вчерашний встреча группа неловкий мочь почувствовать чтоть измениться друг стать такой далёкий чужой,Печаль,"[""I don't know what to do.""]"
снова получить низкий оценка проект работать усердно похоже это иметь значение,Печаль,"[""I don't know what to do.""]"
слышать наш преподаватель уходить это печально поддерживать вдохновлять,Печаль,"[""I don't know what to do.""]"
хватать старый друг который учиться вместе похоже каждый год всё отдаляться друг друг,Печаль,"[""I don't know what to do.""]"
скоро лето знать провести месяц мой план рушиться,Печаль,"['Forensics, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm hmm hh hh hh h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h h']"
просто мочь избавиться ощущение всё идти должный это чувство постоянный тревога тянуть вниз,Печаль,"[""I don't know what to do.""]"
случайно удалить свой файл восстанавливаться знать делать,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
знать найти нужный информация ваш сайт мочь найти нигде,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
смотреть витрина игрушка когдато ребёнок мечтать этот вещь это просто воспоминание,Печаль,"[""- I don't know what to do.""]"
каждый видеть очередь напоминать трудно ждать устать постоянный спешка неопределённость,Печаль,['Clau-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-k-m-m-m-m-m-m-m-m-m-m-e-e-e-e-e-e-e-e-e-e.']
увидеть распродажа надеяться найти чтоть нужный найти,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
услышать всё это приносить радость почему мочь найти путь,Печаль,"['Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa.']"
сегодня тяжёлый день просто хотеть ктоть поддержать,Печаль,"['♪ Season 1, Episode 2, Episode 2. ♪']"
слушать песня вспомнить наш время вместе звучать прекрасно вызывать слеза глаз,Печаль,"[""I don't know what to do.""]"
надеяться встреча состояться,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
прочитать письмо друг который уехать далеко рассказывать свой успех чувствовать оставаться место,Печаль,"[""I don't know what to do.""]"
прогулка увидеть место часто встречаться оно стать такой пустой одинокий,Печаль,"[""I don't know what to do.""]"
посмотреть фотография сердце сжаться печаль,Печаль,['opoctobréttag PPOTOCTRALATHLATOTOTOCTION']
сложно устать получаться застрять болото,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
мир несправедливый почему хороший заканчиваться,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
хотеть ктонибыть обнять сказать,Печаль,"['Whoa, whoa, whoa, whoa!']"
остаться кроме пустота бояться,Печаль,['THE RELIEF OF PROSTITUTIONS IN RELATION TO PRACTICAL PRACTICES']
уйти объяснение прощание просто исчезнуть мой жизнь,Печаль,"[""It's okay.""]"
мир стать серый бесцветный мочь найти немой хороший,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
чувствовать такой одинокий беспомощный никто нужный,Печаль,['* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *']
весь фильм думать здорово рядом,Печаль,['ENVIRONMENTAL RELATIONS WITH ISLAND DISAPPEARANCE']
сколько приятный момент провести вместе быстро всё это исчезнуть,Печаль,['Hip-hi-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha!']
видеть друг наслаждаться свой жизнь общение оставаться лишь наблюдать,Печаль,"[""It's okay.""]"
работа сегодня неприятный разговор коллега который сильно расстроить ожидать реакция знать далёкий работать,Печаль,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
проводить часы обсуждать мечта план просто сидеть одиночество,Печаль,"[""I don't know what to do.""]"
словно чтоть важный ускользать хватать этот момент,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
часто думать друг уйти мой жизнь,Печаль,"[""I don't know what to do.""]"
читать новость охватывать чувство безнадёжность,Печаль,"[""I don't know what to do.""]"
помнить мечтать будущее тяжело,Печаль,['Opohmnybtg eujttrattah quapjze ptegue ptegueo']
вроде порядок внутри чувствовать чтоть,Печаль,"[""I don't know what to do.""]"
уходить комната становиться пусто одиноко,Печаль,"['Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa.']"
мочь поверить уехать общаться,Печаль,['ELEVENTH SECRETARY-GENERAL']
весь день чувствовать подавить усталый,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
просто мочь поверить это произойти это страшный сон скучать он,Печаль,"[""I don't know what to do.""]"
устать работа человек жизнь просто хотеть спрятаться забыть о весь,Печаль,"[""I don't know what to do.""]"
знать справиться это ощущение одиночество каждый день казаться всё серый безрадостный просто устать,Печаль,"[""I don't know what to do.""]"
каждый думать прошлый накрывать печаль скучать время всё казаться лёгкий радостный,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
грустно видеть всё меняться хороший сторона надеяться хороший время пока происходить,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
знать чувствовать потерять всё иметь это очень печально знать вернуть тот счастливый момент,Печаль,"[""I don't know what to do.""]"
просто мочь избавиться грусть каждый день похожий предыдущий всё казаться безнадёжный серый,Печаль,"[""I don't know what to do.""]"
скучать старый друг момент который полный счастие казаться всё это остаться прошлый,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
понимать вокруг хороший сложно это видеть печаль затмевать всё мочь приносить радость,Печаль,"[""I don't know what to do.""]"
казаться один,Печаль,['OCTABTS OBJECTED']
потерять работа чувствовать одинокий,Печаль,"[""I don't know what to do.""]"
дружить год уйти,Печаль,"[""I don't know what to do.""]"
ранний вместе смеяться тишина,Печаль,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
опора рядом знать справиться это одиночество,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
столько год вместе делить радость уехать хватать поддержка дружеский совет,Печаль,"[""I don't know what to do.""]"
помнить мечтать будущее мечта рухнуть казаться такой потерянный безнадёжный,Печаль,"[""I don't know what to do.""]"
вдохновлять свой идея глаз полный грусть знать поддержать,Печаль,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
очень устать неделя работать выходной хотеться просто лечь думать,Печаль,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
расстроиться смочь купить ты подарок искать неделя найти,Печаль,"[""It's okay.""]"
очень устать хотеть просто забыть о весь заснуть надеяться,Печаль,"['Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa.']"
очень расстроить знать справиться весь это верить наладиться,Печаль,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay.']"
всё время вспоминать смеяться это тоскливый успеть осуществить наш мечта,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
помнить вместе планировать наш путешествие грустно мысль рядом,Печаль,"[""I don't know what to do.""]"
слышать её любимый песня глаз слеза просто хотеть мочь поговорить,Печаль,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
рядом плохо чувствовать одинокий,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
каждый пытаться рассказать свой жизнь становиться больно хватать понимать продолжать поддержка,Печаль,"[""I don't know what to do.""]"
узнать её болезнь сердце встать мечтать будущее казаться всё это уйти небытие,Печаль,"[""I don't know what to do, but I don't want you to do it.""]"
снова слушать наш запись сердце стать ещё грустный каждый слово напоминать пережить вместе,Печаль,"[""I don't know what to do, but I don't want you to do it.""]"
это просто воспоминание который приносить лишь боль,Печаль,"[""I don't know what to do, but I don't know what to do.""]"
остаться воспоминание почему всё измениться,Печаль,['OPERATIONAL DISAPPEARANCES RELATING TO ISLAND LINKS']
долго мочь сказать больно важный часть мой жизнь просто знать жить далёкий чувство покидать,Печаль,"[""I don't know what to do.""]"
видеть её фотография мочь сдержать слеза каждый момент который провести вместе навсегда остаться мой сердце трудно продолжать жить её рядом,Печаль,"[""It's okay.""]"
недавно увидеть её любимый кафе охватить ощущение потеря приходить туда вместе просто сидеть вспоминать,Печаль,"[""It's okay.""]"
недавно прочитать статья новый технология это просто невероятно интересно,Интерес,"[""I don't know what to do.""]"
рассказать необычный место путешествие обязательно хотеть туда попасть,Интерес,"[""I don't know what to do.""]"
курс обещать новый полезный очень хотеть он поучаствовать,Интерес,"['Crystal popularity, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hhh hh hh hh x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x xx x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x x']"
обсуждать недавно тема психология заметить это увлекать,Интерес,"[""I don't know what to do, but I don't know what to do.""]"
думать стоить углубиться исследование идея чтоть,Интерес,"[""It's okay.""]"
любопытно этот методика проявить следующий этап точно чтоть получиться,Интерес,"[""I don't know what to do.""]"
очень любопытно этот система работать больший нагрузка интересно проверить,Интерес,"[""I don't know what to do.""]"
видеть продвигаться интересно ещё предстоять понять некоторый деталь,Интерес,"[""It's okay.""]"
хотеться узнать проект масштабировать видеть хороший потенциал,Интерес,"[""I don't know what to do.""]"
интересно далёкий удовольствие узнать подробность рассказать знать,Интерес,"[""I don't know what to do.""]"
хотеть узнать ваш услуга мочь рассказать подробный,Интерес,"[""I don't know what to do.""]"
хотеть узнать новый направление похоже перспектива,Интерес,"[""I don't know what to do.""]"
это новинка рассказать подробный пожалуйста,Интерес,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay.']"
рассказать подробный гарантия очень нравиться этот модель хотеть уверенный качество,Интерес,"[""I don't know what to do.""]"
слышать этот технология очень современный хотеться узнать подробный,Интерес,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
ух знать модель такой возможность,Интерес,['yh yh yenabtah yoh intelat moveew moveew moveew movew moveew movew movew movew movewew.']
