Текст фразы,Эмоция
сегодня магазин видеть новый кофе который недавно появиться думать стоить попробовать оказаться хороший,Нейтрально
успеть заказать билет недавно говорить ещё решиться,Нейтрально
неделя работа идти спокойно задача привычный новый пока добавлять,Нейтрально
выходной просто отдыхать никуда выходить погода както особо располагать прогулка,Нейтрально
сегодня получить уведомление посылка прийти завтра заехать забрать путь,Нейтрально
пробовать чтонибыть новый сериал думать начать чтоть мочь выбрать,Нейтрально
вчера готовить чтоть новый рецепт вроде получиться нормально улучшить,Нейтрально
пытаться зайти аккаунт проходить авторизация логин пароль точно правильный,Нейтрально
отображаться ошибка заходить настройка профиль появиться сегодня,Нейтрально
пожалуйста уточнить восстановить доступ помнить ответ секретный вопрос,Нейтрально
мочь узнать завершиться технический работа нужно срочно войти система,Нейтрально
получаться обновить дать личный кабинет ранний всё работать проблема,Нейтрально
нужно изменить номер телефон профиль порядок действие,Нейтрально
видеть уведомление ошибка оплата попробовать несколько карта помогать,Нейтрально
снова использовать функция перевод недоступный,Нейтрально
хотеть уточнить отменить заявка сайт опция почемуть видно,Нейтрально
мочь прийти встреча сегодня дело обязательно связаться ты завтра,Нейтрально
давать встретиться следующий неделя ты вариант быть свободный вторник обед,Нейтрально
извинить смочь приехать мочь взять отпуск это время следующий обязательно приехать,Нейтрально
мочь говорить очень дело позвонить поздний,Нейтрально
постараться перезвонить скорее,Нейтрально
понять перезвонить поздний,Нейтрально
посмотреть сделать,Нейтрально
передавать ваш запрос коллега,Нейтрально
записать ваш дать,Нейтрально
сегодня встреча коллега обсуждать план следующий месяц пройти спокойно конфликт,Нейтрально
выходной собираться пойти магазин нужно купить продукт коечто дом список покупка надеяться наличие,Нейтрально
слышать сегодня погода хороший улица тепло солнечно планировать немного прогуляться возможно сделать пара снимок,Нейтрально
вчера посмотреть новый эпизод сериал слишком интересный скучный такой серия бывать довольно расслаблять просто приятный способ провести время,Нейтрально
завтра офис презентация надеяться пройти гладко подготовить свой слайд заранее важно вовлечь процесс,Нейтрально
школа идти нормально ребёнок достаточно домашний задание неделя проверить справляться учёба,Нейтрально
следующий неделя отпуск решить просто отдохнуть дом пожалуй посмотреть несколько фильм почитать книга это хороший смена обстановка,Нейтрально
планировать поехать дача выходной нужно немного поработать сад забыть взять себя инструмент надеяться погода хороший,Нейтрально
вечером собираться почитать книга несколько интересный вариант это помочь расслабиться рабочий день надеяться смочь найти время чтение,Нейтрально
сегодня офис довольно тихо,Нейтрально
дело попрежний,Нейтрально
выходной планировать остаться дом,Нейтрально
магазин нужный товар,Нейтрально
скоро встреча команда проект,Нейтрально
пройти твой неделя лично особенный,Нейтрально
погода сегодня обычный изменение,Нейтрально
завтра запланировать встреча клиент,Нейтрально
нужно проверить почта поздний,Нейтрально
закончить проект ждать обратный связь команда,Нейтрально
погода сегодня очень хороший это нормально время год,Нейтрально
завтра провести встреча просто обсудить текущий дело,Нейтрально
работа идти расписание никакой задержка пока,Нейтрально
нужно отправить отчёт конец день это занять время,Нейтрально
пройти твой день порядок примечательный,Нейтрально
просто звонить проверить статус мой запрос,Нейтрально
мочь рассказать процедура обновление программный обеспечение,Нейтрально
номер мой обращение техподдержка,Нейтрально
нужный помощь настройка мочь объяснить это сделать,Нейтрально
мочь подтвердить аккаунт активный,Нейтрально
долго обычно занимать решение проблема,Нейтрально
особенный просто интересоваться ваш новый услуга,Нейтрально
сколько время потребоваться ответ запрос,Нейтрально
мочь уточнить деталь мой подписка,Нейтрально
проверять какиеть новость мой дело,Нейтрально
спасибо позвонить техподдержка мочь помочь ваш запрос сегодня,Нейтрально
ваш обращение зарегистрировать пожалуйста ожидать обработать близкий время,Нейтрально
проверить ваш информация момент пожалуйста это занять несколько секунда,Нейтрально
мочь уточнить именно проблема беспокоить мочь помочь быстрый,Нейтрально
начало нужно ваш имя номер аккаунт мочь получить доступ ваш информация,Нейтрально
спасибо ожидание небольшой загруженность обязательно ответить скорее,Нейтрально
пожалуйста дать знать дополнительный вопрос этот повод,Нейтрально
отправить ваш запрос соответствовать отдел связаться вы течение час,Нейтрально
ваш запрос обработать течение несколько рабочий день уведомить результат,Нейтрально
нужный помощь чемтый стесняться обращаться мы любой время,Нейтрально
здравствуйте позвонить техподдержка мочь помочь сегодня пожалуйста описать ваш проблема подробно мочь быстрый найти решение,Нейтрально
спасибо обратиться наш служба поддержка ваш вопрос важный постараться помочь быстрый пожалуйста ожидать линия,Нейтрально
проверить ваш информация система момент пожалуйста дополнительный деталь проблема это помочь ускорить процесс,Нейтрально
пожалуйста подтвердить мочь слышать испытывать проблема подключение попробовать перезагрузить устройство смочь продолжить разговор,Нейтрально
ваш запрос зарегистрировать работать решение получить уведомление электронный почта обработать спасибо терпение,Нейтрально
очень жаль столкнуться проблема данный момент это единственный мочь сделать пожалуйста повышать голос это помочь решить ситуация,Нейтрально
понимать расстроить ваш угроза ускорить процесс давать сосредоточиться решение проблема эмоция пожалуйста,Нейтрально
понимать ожидать больший делать всё возможный,Нейтрально
пожалуйста дать возможность решить проблема посмотреть сделать,Нейтрально
прежде давать проверить сделать убедиться правильно ввести дать,Нейтрально
пожалуйста перезагрузить ваш устройство попробовать снова проблема исправиться обратиться инструкция пользователь позвонить мы снова,Нейтрально
сначала давать проверить последний версия программный обеспечение установить мочь попробовать другой решение,Нейтрально
давать попробовать вместе решить проблема сначала давать проверить правильно настроить параметр подключение проблема исправиться мочь попробовать другой решение,Нейтрально
сожаление мочь помочь решение проблема пожалуйста обратиться инструкция пользователь позвонить снова информация,Нейтрально
посмотреть сделать,Нейтрально
записать ваш дать спасибо звонок,Нейтрально
алло хотеть узнать ваш услуга,Нейтрально
интересовать ваш услуга уборка,Нейтрально
хотеть забирать,Нейтрально
интересовать ваш услуга доставка,Нейтрально
сказать пожалуйста мочь сделать заказ,Нейтрально
сказать пожалуйста мочь записаться консультация,Нейтрально
здравствуйте звать анна хотеть сделать заказ доставка еда,Нейтрально
здравствуйте звать сергей хотеть записаться консультация врач,Нейтрально
здравствуйте звать алексей хотеть уточнить информация ваш товар,Нейтрально
алло хотеть уточнить время доставка,Нейтрально
хотеть уточнить время доставка заказ мочь ожидать,Нейтрально
добрый вечер хотеть узнать наличие товар это модель x наличие,Нейтрально
здравствуйте звать иван звонить повод запись приём удобно сегодня,Нейтрально
извинить неверный номер пожалуйста проверить правильность ввести номер,Нейтрально
простить неудобство свидание,Нейтрально
понять заказ оформить номер заказ прийти смс подтверждение,Нейтрально
здравствуйте звать анна звонить компания астр хотеть узнать ваш услуга,Нейтрально
хотеть уточнить деталь заказ номер заказ мочь получить,Нейтрально
понять нужно время проанализировать информация перезвонить завтра утром спасибо терпение,Нейтрально
сказать прийти восемь заказать столик ресторан,Нейтрально
думать мочь обсудить это завтра время,Нейтрально
позвонить сегодня утром уточнить время встреча,Нейтрально
договориться встретиться вокзал утро,Нейтрально
сказать прийти мы гость выходной,Нейтрально
знать подарить,Нейтрально
обещать позвонить ждать звонок несколько день сказать работа надеяться скоро позвонить,Нейтрально
попросить помочь перевезти вещь против помочь свободный время,Нейтрально
надеяться найти хороший работа окончание учёба,Нейтрально
посетить эйфелев башня лувр очень понравиться поездка,Нейтрально
мочь оставить сообщение,Нейтрально
помочь,Нейтрально
мочь повторить ваш адрес пожалуйста,Нейтрально
уточнить информация вернуться,Нейтрально
извинить плохо слышать,Нейтрально
это номер телефон мой менеджер,Нейтрально
